model_name,n_obs,mape_h2,mase_h2,bias_h2,pinball_cf_h2,hit_cf_h2,portfolio_cost,mean_sku_cost
zinb,6403,55.70745112089258,0.9075421094894409,1.8813837263782602,1.391196834817013,0.8166484460409184,8905.2,14.86677796327212
slurp_bootstrap,6589,58.58447077642766,0.7576693296432495,0.4801183791167097,0.5680376384883897,0.32220367278797996,9769.8,16.310183639398996
slurp_stockout_aware,6589,64.48634103480119,0.7870746850967407,0.2297769008954318,0.5676481003693022,0.28441341629989375,10049.4,16.77696160267112
slurp_bootstrap_OLD,6589,65.76561317400753,0.7894623279571533,0.16433947416068756,0.9438388877644261,0.2643800273182577,10133.8,16.91786310517529
slurp_stockout_aware_OLD,6589,66.56655809849454,0.7925312519073486,0.12407042039763241,0.5660393585268376,0.264228259219912,10144.4,16.935559265442404
knn_profile,6589,69.98828060300188,0.8182564973831177,0.0642669841178801,2.9953982469719898,0.20761875853695552,10662.6,17.80066777963272
lightgbm_quantile,6589,56.89786006981332,0.9724697470664978,2.6767339505236,2.2306116254363335,1.0,14092.6,23.52687813021703
linear_quantile,6589,56.89786006981332,0.9724697470664978,2.6767339505236,2.2306116254363335,1.0,14092.6,23.52687813021703
seasonal_naive,6589,6804.3879671780105,69.0444564819336,-80.48096243710751,14.139450075957294,0.2835028077098194,15429.0,25.757929883138566
ngboost,6589,112.25159229357622,1.284452199935913,-0.3193654647968817,1.5224136614518768,0.24707846410684475,22132.0,36.94824707846411
